id_estacao,data,temp_max,temp_min,precipitacao_mm,umidade
D004,2023-05-12,25.1,10.5,0.0,83
B002,2023-08-13,30.3,17.4,0.0,83
E005,2023-06-04,31.6,23.9,0.0,90
A001,2023-10-03,24.2,12.2,0.9,80
B002,2023-08-17,32.8,24.7,8.2,36
B002,2023-05-29,34.1,25.9,0.0,55
E005,2023-11-21,36.8,28.9,6.6,88
D004,2023-10-02,22.6,8.5,13.9,71
D004,2023-07-04,25.0,19.9,0.0,70
B002,2023-10-14,28.1,17.5,11.8,81
C003,2023-08-15,32.3,22.7,0.0,77
B002,2023-05-22,32.4,17.7,0.0,84
D004,2023-03-19,31.1,23.4,0.0,64
A001,2023-05-09,25.7,13.3,0.0,66
D004,2023-06-01,20.9,12.1,0.0,72
D004,2023-03-27,33.6,23.8,18.9,82
E005,2023-12-28,30.1,26.4,4.8,79
C003,2023-11-24,23.5,16.6,0.0,46
A001,2023-09-03,28.0,14.3,0.0,36
A001,2023-08-09,32.6,25.7,19.4,33
A001,2023-03-24,26.2,16.2,0.0,76
C003,2023-02-13,20.8,13.9,0.0,78
A001,2023-09-01,22.6,10.1,14.5,78
A001,2023-09-06,27.1,15.4,0.0,77
A001,2023-08-23,23.5,12.2,18.7,82
E005,2023-06-06,36.5,29.6,0.0,73
A001,2023-07-04,29.0,18.7,0.0,57
B002,2023-10-10,32.7,25.4,0.0,39
E005,2023-06-01,34.4,27.3,0.0,81
B002,2023-03-24,27.0,12.7,0.0,60
D004,2023-04-08,24.1,16.5,0.0,53
D004,2023-05-31,25.7,11.3,0.0,34
A001,2023-10-14,33.4,23.7,0.0,77
A001,2023-10-07,31.2,22.8,0.0,79
C003,2023-12-09,23.1,12.9,0.0,58
E005,2023-01-23,32.0,28.6,0.0,92
B002,2023-10-05,22.3,11.1,0.0,77
B002,2023-01-08,33.6,21.8,2.3,51
B002,2023-09-29,33.8,27.0,5.2,66
C003,2023-04-20,29.1,21.3,0.2,67
A001,2023-05-15,30.5,20.4,0.0,60
B002,2023-11-20,28.7,21.9,0.0,59
A001,2023-05-20,34.3,19.4,0.0,63
A001,2023-03-25,27.9,22.5,0.0,30
B002,2023-07-22,22.0,9.0,0.0,68
A001,2023-04-25,25.2,15.4,0.0,33
E005,2023-06-06,30.4,23.3,11.1,78
E005,2023-04-27,37.3,31.9,0.0,89
A001,2023-12-13,33.0,25.8,0.0,40
D004,2023-02-10,32.9,21.1,0.0,56
D004,2023-08-20,24.7,16.7,0.0,45
E005,2023-05-13,28.7,23.5,18.9,74
A001,2023-10-24,23.4,11.7,0.0,79
E005,2023-05-21,29.3,23.4,0.0,72
D004,2023-09-13,21.0,11.7,9.2,79
B002,2023-10-24,22.6,16.5,0.0,66
A001,2023-07-04,26.2,16.1,0.0,35
E005,2023-05-07,35.8,29.6,0.0,82
A001,2023-09-25,32.0,17.7,0.0,52
C003,2023-12-16,24.9,18.0,0.0,53
B002,2023-01-03,30.1,20.2,3.7,52
C003,2023-04-03,25.4,14.5,0.0,69
B002,2023-05-30,20.7,8.1,0.0,70
C003,2023-05-21,28.5,16.5,14.6,66
E005,2023-02-13,37.1,33.4,0.0,88
B002,2023-09-14,30.5,20.2,22.2,48
A001,2023-03-06,21.2,15.4,10.0,85
B002,2023-06-25,20.7,12.2,0.0,71
D004,2023-11-26,27.4,14.8,0.0,39
D004,2023-11-17,23.0,14.4,0.0,34
B002,2023-12-25,24.1,15.4,0.0,49
C003,2023-10-20,30.6,24.0,0.0,49
A001,2023-10-13,23.2,12.8,0.0,42
B002,2023-10-05,29.0,19.0,0.0,67
D004,2023-03-15,23.4,18.1,0.0,51
E005,2023-11-19,36.2,29.5,0.0,77
E005,2023-03-27,29.4,22.3,0.0,77
E005,2023-03-05,32.6,27.9,0.0,93
E005,2023-08-03,37.3,30.8,0.0,78
A001,2023-05-08,23.7,13.3,12.1,36
C003,2023-03-13,26.0,19.8,0.3,79
D004,2023-06-14,26.7,18.2,0.0,77
D004,2023-09-15,21.7,12.2,23.1,56
B002,2023-03-18,31.2,23.9,0.0,57
D004,2023-02-25,22.4,16.3,0.3,69
E005,2023-12-29,33.3,29.5,0.0,81
C003,2023-12-18,29.9,24.3,0.0,80
E005,2023-08-28,28.6,21.0,0.0,87
B002,2023-12-30,32.0,23.4,0.0,48
C003,2023-06-20,24.7,13.7,0.0,48
C003,2023-11-17,25.6,11.6,0.0,63
D004,2023-07-02,22.4,14.5,0.0,77
D004,2023-11-12,29.9,19.8,0.0,57
C003,2023-10-13,25.9,12.3,16.9,31
C003,2023-07-17,22.6,13.8,0.0,32
E005,2023-02-07,33.7,26.0,0.0,91
A001,2023-07-25,23.9,16.8,0.0,38
C003,2023-09-26,23.7,10.2,0.0,76
A001,2023-11-19,34.2,20.7,0.0,81
E005,2023-11-30,37.1,34.0,0.0,74
A001,2023-09-30,27.5,19.5,0.0,50
C003,2023-02-27,26.8,14.8,0.0,57
B002,2023-11-04,20.2,5.6,0.0,81
A001,2023-07-30,34.9,25.8,7.0,50
B002,2023-02-10,20.9,6.2,0.0,84
A001,2023-08-22,33.6,28.3,0.0,56
E005,2023-06-15,30.1,24.2,10.6,80
A001,2023-07-03,24.2,11.9,22.1,52
E005,2023-08-26,37.6,34.1,11.7,86
E005,2023-06-05,34.6,28.1,0.0,73
C003,2023-09-14,22.4,16.4,0.0,33
E005,2023-06-13,34.4,28.3,0.0,87
B002,2023-03-19,20.3,7.9,0.0,46
B002,2023-01-15,26.5,20.4,4.7,74
D004,2023-07-24,20.1,6.6,0.0,75
E005,2023-08-12,30.4,25.4,10.2,85
B002,2023-09-02,33.1,20.9,21.0,63
A001,2023-09-16,21.4,7.9,0.0,56
C003,2023-04-18,24.1,14.7,0.4,79
D004,2023-11-23,29.3,16.8,13.5,56
C003,2023-02-08,24.1,12.3,0.0,74
C003,2023-07-11,24.1,15.8,10.2,77
D004,2023-12-22,27.9,22.0,0.6,33
E005,2023-10-08,35.6,30.1,0.0,93
D004,2023-04-24,28.4,14.4,0.0,52
A001,2023-06-15,30.9,22.0,13.2,78
D004,2023-02-26,23.5,15.5,13.5,50
B002,2023-11-01,34.2,19.4,0.0,37
A001,2023-06-01,26.2,14.5,0.0,50
C003,2023-05-30,31.0,18.1,0.0,33
A001,2023-02-10,30.1,16.2,0.0,35
C003,2023-08-09,24.4,10.8,0.0,84
D004,2023-09-12,21.9,12.0,0.0,44
A001,2023-05-01,32.6,23.8,0.0,34
E005,2023-11-15,36.5,33.0,0.0,78
D004,2023-04-05,31.3,21.5,13.2,78
B002,2023-05-31,31.5,19.7,0.0,64
A001,2023-07-24,20.1,15.1,0.0,53
A001,2023-05-02,27.6,19.2,0.0,83
E005,2023-04-10,29.9,24.1,0.0,89
A001,2023-09-21,27.2,21.7,0.0,40
D004,2023-12-16,31.5,24.8,0.0,65
E005,2023-03-23,37.0,32.5,4.8,83
C003,2023-03-11,34.0,20.4,0.0,69
D004,2023-09-19,34.7,28.5,0.0,31
A001,2023-03-31,31.0,21.7,0.8,45
B002,2023-07-07,26.9,21.5,0.0,60
C003,2023-12-24,24.0,18.8,0.7,42
A001,2023-06-07,21.1,12.2,18.0,59
A001,2023-06-08,22.3,9.6,6.1,57
D004,2023-01-09,25.4,19.7,0.0,72
E005,2023-11-05,28.7,24.2,0.0,73
E005,2023-05-09,34.8,29.8,0.0,87
C003,2023-09-23,22.1,15.4,8.1,70
A001,2023-11-06,33.2,28.0,15.8,30
D004,2023-10-30,24.0,10.8,0.0,67
A001,2023-10-16,28.2,13.9,13.8,78
C003,2023-10-25,22.2,10.1,0.0,49
C003,2023-04-28,33.8,26.8,0.0,76
C003,2023-07-09,24.3,12.5,4.5,32
E005,2023-03-31,29.2,23.9,13.5,81
D004,2023-07-25,31.4,25.0,0.0,36
A001,2023-06-21,28.3,22.0,0.0,44
E005,2023-04-14,33.3,26.8,14.4,81
E005,2023-04-27,28.6,23.7,0.0,81
C003,2023-03-09,24.6,17.2,0.0,44
A001,2023-08-16,28.4,19.9,0.0,39
D004,2023-12-14,31.3,19.3,0.0,41
C003,2023-07-14,26.4,13.7,2.9,62
A001,2023-07-29,30.8,18.8,0.0,35
C003,2023-03-18,24.2,11.0,0.0,77
E005,2023-09-03,30.7,25.6,0.0,72
B002,2023-03-13,28.9,23.3,6.8,81
C003,2023-05-23,23.2,12.1,20.0,79
E005,2023-04-26,36.9,30.4,0.0,86
E005,2023-02-13,30.1,25.1,22.5,74
E005,2023-10-11,36.9,30.7,19.3,95
A001,2023-11-04,25.0,13.3,0.0,32
E005,2023-11-14,35.4,30.4,0.0,72
D004,2023-03-21,32.2,24.5,21.6,61
A001,2023-01-08,26.1,14.1,12.4,58
C003,2023-08-14,27.1,12.7,0.0,54
B002,2023-12-21,23.6,9.8,12.3,67
B002,2023-09-19,29.3,17.7,0.0,69
B002,2023-06-21,26.4,19.5,0.0,54
B002,2023-09-10,24.1,17.3,0.0,43
A001,2023-02-14,25.5,15.0,0.0,74
E005,2023-12-19,34.5,28.7,13.3,83
C003,2023-01-14,24.9,19.5,0.0,62
D004,2023-02-01,22.1,12.0,20.7,57
